id,name,miaoName,reason,describe
R1,肺家咳嗽症,封勒普?纳拉,风毒、热毒、寒毒侵犯人体，损伤气血，血脉不通，气壅不畅，则咳，则喘，邪 毒化热则痰多。,"肺家咳嗽症,类似中医外感病的咳嗽病症，西医的急、慢性支气管炎、肺气肿、肺源性心脏病等 所引起的咳嗽、喘息、呼吸不畅等。"
R2,内损咳嗽症,吉仰英?案沃,风热湿毒侵入人体，在原来内损疾病的基础上产生本次咳嗽，毒邪犯肺， 损伤气血。气滞血热，上逆咳嗽，痰黏稠难咳，重者痰中带血。,吉仰英?案沃，汉语译为内损咳嗽。苗医认为在本次咳嗽未发生前，人体曾经受到外界损伤 遗留内损，因而在外来毒邪作用下，又产生了本次咳嗽，称内损咳嗽。
R3,外感咳嗽,案沃,风寒热毒，从口鼻侵入人体，首先犯肺，肺气壅塞，以致咳嗽，咳痰。苗医 认为日咳为肺内有痰（diongb bnaib ait ngol mail ghabl hgol董哈爱沃也洛冲），夜咳为肺内有火（diongb bmangt ait ngol kaib jangx dlu董芒爱沃凯江都）,案沃或沃是指肺气上冲产生咳声，咳吐痰液，类似中医的外感咳嗽。
R4,感冒,蒙柯，凉底,"风寒热毒从口鼻侵入，伤气、伤血，血郁蕴热,犯肺;热毒上逆则咽喉疼痛;",感冒一词系外来语，苗医将头痛、受凉、时冷时热都归为感冒。
R5,喘病,按哦阿罗右,"风寒湿热,从口鼻侵入，首先伤肺、伤气、伤血。气血不足，湿痰瘀阻，血脉 运行无力，血行瘀滞,呼气吸气受限，面色青紫,上气不接下气，呼吸急促而喘息咳嗽。","喘病是20世纪80年代以来,苗医学习中医学之后，才将哮喘病分为喘病与癌病。"
R6,咳血,"按沃洛象,沃洛象。"," 风毒热毒从口鼻入内，首先犯肺，伤及气血,血热气滞不疏，上逆咳嗽咳 血。热毒过盛必然伤血伤水，加重热毒咳血。","沃象、按沃洛象、沃洛象是指咳嗽咳血，或痰中带血，血色鲜红,中医称咳血。"
R7,虚劳,蒋宾沃,"由于不同原因造成气血两虚，气虚血液运行减缓，重则产生气滞;血虚、血滞气行同样受到影响。气血两虚,人体功能下降，形成气短自汗，少气懒言;血虚，头晕，耳鸣，咯血，盗汗。",蒋宾沃是由于不明原因，或劳累过度，或居住环境不良等造成身体虚弱的慢性疾病。
R8,胸痛,摆痺,"人体感受外来风毒、寒毒、热毒及烟雾等犯肺造成气、血、水失调,肺气壅 滞上逆则生咳喘，蕴热伤水则生痰。风寒热致肺气壅遏，导致喘息，胸闷，痰喘，咳嗽。寒毒、湿毒、热毒伤及气 血，引起气滞，血脉不通，故发生胸闷，胸痛，或心悸。",胸痛是指胸口以上疼痛。
R9,肺痈,松芮泡,"诸如伤水，伤血，血热于肺,邪毒损伤津液，肺功能失调，血瘀郁结。突然 怕冷，高烧，咳嗽，胸痛，痰稠,1周后吐大量腥臭脓痰，或脓血相兼，发烧渐降，病情好转，如脓毒不净，持续咳嗽， 咯出脓痰，痰有血臭，低烧，消瘦。",松芮泡，相似于中医肺痈。
R10,胃痛,蒙布兜,"本症因伤气、伤血，气结血脉，运行不畅，则胃痛；气逆则暧气，泛吐酸水； 气滞不化饮食量少;气结血涩，化热伤血，则便黑;气滞血瘀,盛者则胃痛;气滞化热，损伤血脉，以致胃肠虚弱。","蒙布兜相似中医的胃胱痛,西医的上腹部疼痛。"
R11,大肠热疾,嘎苏凯谷,"外感水湿寒毒，侵入人体,损伤胃肠气血，气与血相互依存，气血受阻，气 滞血瘀，运行不畅，产生剧烈腹痛。", 嘎苏凯谷又称断肠感，相似于中医的胃胱痛，西医的急性胃炎。
R12,肚肠疼痛,久嘎岗蒙,"由于感受外来水毒、热毒，或饮食不洁，程度不一，可产生各种症状。如水 气郁结于肠,则产生腹泻、腹胀、肠鸣;水毒热毒以及不洁食物下迫，则产生腹泻。痢疾是由于秽浊热毒伤及人体 气、血、水，水热互结,并郁于肠中，乃至发热，便下脓血，气结于肠，则产生想解大便,又解不出以及腹痛等。",苗医认为凡是肠道痛肿的病症统称久嘎岗蒙
R13,腹痛,蒙差?蒙岗羌,冷经受损，气机受阻，气血运行不畅产生腹痛。热经受损，气郁化火，热蕴 胃肠以致腹痛。,苗医将上腹部和下腹部疼痛，统称腹痛。
R14,腹泻,扎嘎欧,"由于感受外来水毒、热毒，或饮食不洁，程度不一，可产生各种症状。如水 气郁结于肠，则产生腹泻、腹胀、肠鸣;水毒热毒以及不洁食物下迫，则产生腹泻。痢疾是由于秽浊热毒伤及人体 气、血、水，水热互结，并郁于肠中，乃至发热，便下脓血。气结于肠，则产生想解大便又解不出，以及腹痛。水毒、 湿毒，以及污秽之物引起大便稀薄。重者如水样，或大便中夹有黏液，脓血;饮食不节，或食过量，形成积食。风寒 水湿,同蓄于胃于肠，寒湿阻气阻、血，气血内蕴,致使胃肠功能失常。","扎嘎、扎嘎欧类似中医的腹泻，大便呈水样,次数比正常时增多。"
R15,反胃,休象,"无论任何致病因素都可造成肠胃虚弱，消化功能下降，食物不化而反胃， 食肉过多，饮酒或过食辛辣之品,损伤胃肠气血、胃气受损运化无力，产生食积反胃。",俗象与休象相似中医的反胃。
R16,呕吐,艾洛哦,"由于感受外部风毒、冷毒、水毒、湿毒的污秽食物或油腻过重，以及生冷食 物从口入胃肠，水谷停滞不化，胃气上逆则呕吐。或因情绪不好，胃肠虚弱，消化功能下降,或因胃肠有病导致呕 吐。",苗医对有吐出物与没有吐出物（干呕）统称呕吐。
R17,吐血,沃象,"饮食不洁或过食生冷、辛辣食物，饮酒过量，水湿热毒侵犯胃肠，胃中火 旺，胃热损伤胃气，血热上逆而吐血，或劳累过度,情绪不好,损伤肠胃而致吐血。",血液从口中吐出，不是咳出，称沃象。
R18,吐酸水,透肖," 过食油荤肉类，饮酒过多，忧思饮虑，胃肠虚弱,水湿寒毒犯胃，损伤胃气， 湿热内停，久留生酸，故吐酸水。",透肖，吐酸水，相似中医吐酸。
R19,打嗝,搜苟,"进食太快，食量过大，或多食生冷，寒邪蕴蓄肠胃，损伤气血，情绪不好，气 不通畅，气滞化热,气不顺，上逆产生打嗝。","呃逆苗语称搜苟、闷乓、搜乓、斗谷,民间称打嗝。"
R20,便血,休嘎洛象,"体质虚弱，水湿热毒从口侵入胃肠,热毒内蕴于内，损伤胃肠功能，胃血胃 气受损，热毒迫血下行，产生便血;或胃肠自身虚弱，或久病体虚,气血不固,血液下行产生便血。","大便之前或大便后便血，苗医称休嘎洛象，或称凯落洛象,意为热毒太盛便血。"
R21,便秘,科沃洛,胃肠有热，或过食酒肉之类，或久坐少动，或病后失调，或缺乏水分都可酿 成便秘。,修嘎阿洛、科沃洛都是指便秘。
R22,黄疸,秋兴访," 水热湿毒损伤人体气、血、水。饮食不洁及污秽之物随口入内，损伤胃肠 泛及肝胆;温热内蕴,胆汁外溢皮肤、眼珠,下行尿脖，而出现全身发黄、眼珠黄、尿黄。","一身皮肤黄,眼珠黄，尿黄，苗医统称修调访（黄疸）,包括新生儿黄疸在内。"
R23,水熾病,普嘎秋,"诸多病因侵入人体，首先损伤气血水。气机受损，胃肠功能下降,水谷不 化，食积腹胀,气虚血流减慢，气滞血瘀，青筋肚大，伤气必伤水（mongb bongb nongt yens eb蒙笨完茵沃），同样伤 气也必伤血（yens vus yens hxangd茵乌茵象）。气、血、水三者共损，日久则成水臓病。",臓病类似西医因肝脏、心脏、肾脏发生病变及营养不良等引起的腹水，苗医统称水臓病。
R24,痛肾,蒙 丢,"风寒水湿热毒侵入人体，损伤气血,气虚血流缓慢，水液受阻，产生水肿； 风寒伤血，血流瘀滞，湿热内盛加重水肿，故而痛肾一症，主要是气血受损,水液停滞而成疾。",蒙丢、蒙乃，汉意为痛肾，类似中医的肾病。
R25,泌尿系感染,休洼凯纳,述病因造成体内湿热过重，或感受外邪致使尿路血瘀阻滞，或寒湿水邪 滞留尿路产生疼痛。,尿路及尿道小便时疼痛，称董欧洼欧奴或休洼凯纳，与泌尿系感染类似，但苗医所指范围很 小，只限于下尿道。
R26,尿血,欧洼象,"感受风寒、热湿、水毒造成尿血,外来邪毒伤血、伤气、伤水，血脉受损，气 血受阻，上逆则五官出血，下行则便血、尿血。",欧洼象一症，类似中医、西医的尿血，但苗医不分什么原因引起，只分热经尿血、冷经尿血。
R27,遗尿,藻洼,"先天禀赋不足，体质虚弱，气血不足，血虚血少,水液排泄紊乱，引起遗尿。 苗医有“血无水不能生,水无血不养人（eb taib hxangd hangb,hxangd taib eb mongb沃胎象香，象胎沃睦）”。血虚 血少是遗尿的根源。",俗尼袜类似中医遗尿。
R28,小便困难,欧袜及阿洛,"湿寒毒侵入人体,长期不能解除，血热受损，气运无力，气滞不通，小便 排泄受阻,水液停留在身体各处，以肚腹下肢为最，虽有尿意，但无可排，或年老体虚,尿路阻塞，或尿石过多，阻塞 尿路，无法排尿。本病发病冷经为主,热经小便困难多为热毒所致，热毒蕴郁热损伤尿路造成排尿困难。",不管什么原因引起排尿困难，统称欧袜及阿洛，类似中医的瘻闭。
R29,尿甜症,岗 糯,"其病机与人体受外界因素影响，引起血水严重损伤。yens vus jud yens hx_x005f_x001F_angd 英乌当相（伤气必伤血）,yens hxangd jus yens vus英相就英乌（伤血也伤气）,bongt hxangd deb sangb乓象抵 伤，气血两伤，功能失调。伤气则气虚，伤水则水燥，故而口渴多饮，多食易饥，尿频，尿多，神疲乏力，形体消瘦。","岗糯是指病人解的小便，撤在土上,许多蚂蚁去憩，意译“蚂蚁症”或尿甜。"
R30,湿瘟,阴近舒,水湿致病损害较广。湿邪、热邪侵入人体，损伤肠胃；伤血伤气，气带血流 不畅。伤血也必伤水，伤水谷不化而湿瘟。,阴近舒为水湿引起的病症。
R31,水肿,普老,"苗医认为本病症根在气、在水，风湿水毒侵犯人体，或病后体虚失养，或饮 食馈乏，劳动过度，或先天禀赋不足,或五腑有病均可造成水肿。",体内水分停留体内，肌肤、颜面、眼睑、四肢浮肿，苗医都统称为普洛普壁，或称普老。
R32,心慌,来修底, 心慌一症，多为气血损伤（bongt hxangd deb sangb乓象也抵伤），气亏 （bongt xus乓休），血亏（hxangd xus象休心血不足），心失所养，产生心神不定而致心慌。血热伤神伤气，气阻伤 精，因而乱神;气血不足，心神失常，产生心慌。,"无论什么原因引起的心跳加快,苗医统称为来修底（心慌）。"
R33,头痛,蒙 柯,"本症以寒湿多见，风寒侵入,导致寒毒入内，气血凝滞，阻遏脉络,血滞于 内，故而头痛。","头痛苗医称蒙柯，包括nix khob里柯（头胀）,nid nangl khob奴良柯（头重）。"
R34,偏头痛,蒙寿柯,"风毒伤气,气虚少气懒言，头昏头痛。伤气必伤血，气推血走，血带气行。 血虚,产生头晕,头痛，心慌气短，面色苍白，四肢麻木。",蒙辞柯类似中医偏头痛。
R35,前额头痛,波柯量迈蒙,风邪热邪入侵，气、血受损，气血盛上冲头顶产生头痛和响声，久治不愈。,波柯量迈蒙是指在前额头痛时，脑中似乎有响声。
R36,头昏目眩症,奴娘柯滇迈,"年老体虚或平素体质虚弱气血不足，“小天”（头颅）失养，气血受阻，或气 —71 — 虚血行缓慢,血虚有失所养，因而头昏目眩。苗医有肝气主全身血脉（hfab nais jongt ghend jox ghab git呼勒炯苟 绞嘎吉）。肝火旺盛,肝火上冲小天，故而头昏目眩。","苗医的三个症名,类似现代医学美尼尔氏病。"
R37,热湿头晕症,挽奴猛塔,"头晕一症病由，乃热毒、湿毒、风毒损伤气、血、水。伤水水不上养天顶，心 神失调，头昏眼花,人不能站立;伤气、伤血，气血阻滞，耳不能听，眼不能睁，心神不安,恶心呕吐。",苗医认为眩晕与晕症是两个独立病症。
R38,胁痛,蒙冲挡,"胁痛,多为体质较差，血少体弱，寒毒侵袭损伤气血，气血阻滞，寒毒内盛 上逆产生冷经胁痛。外邪热邪内蕴犯肺，热伤水湿，故痰稠痰热，胸中气血受阻，产生热经胁痛。",一侧胁间疼痛或两侧胁间疼痛称蒙冲挡，类似中医胁痛。
R39,健忘,玛 仰,"本症劳伤思虑过度，血液耗损,房事过多或久病年老，损伤气血，而致善忘 或情绪不好，久病伤体，以致血液受阻内停，气血内蕴郁热上拢，则成热病健忘。",记忆力差，遇事善忘的一种病症。
R40,忧郁,夏 西," 先天不足，体质虚弱,加上心神受伤，忧虑伤神，气滞血瘀，上行伤神，下行 伤心,所以忧愁思虑不解。",苗医夏西相似中医的郁症，但又不完全相似，苗医的忧郁症中还包括有痴呆一症。
R41,多睡病,洛欧留涌,"心神不安,体内气、血、水失调，故而多睡，久睡不醒,醒后又想睡。",不分昼夜久睡不醒。醒后又睡，时时想睡。
R42,失眠,比阿赊,"心情忧虑，神不自定，多思，性急，烦躁欲睡不能,",人之睡觉，由心神控制，气血的正常运行是保证心神调节睡眠的基础。每因饮食不节，情绪不 好，劳累，思虑过度及年迈体虚等因素，导致心神不安而致失眠。
R43,抖症,抖道疾,"欲起又觉困倦，乃血水失调，血不养神,水不济心造成失眠。",抖道柯拌道症类似中医的颤证，按其意应为全身发抖症。
R44,中邪,凯蒙凯, 热经中邪，多发生在夏、秋天热季节，年老中邪为多，大热，大汗，气血严重 受损，血热气热上冲天顶，天神不固发为昏迷不省人事。冷经中邪，多因气虚血虚，加之平素体质较弱，劳累过度 或精神负担造成中邪。,中邪指突然昏迷，不省人事。与中医中风、中暑相似。
R45,妇人花癫,傣妣歌相别,"其病与近期心神有关，气血不足，心情不好，神不自守,“幽灵”错乱产生恍 惚，大哭大闹。发癫与家族遗传有关,苗族在订婚之前,家长要寻访对方族人中有无花癫病史。","十八九岁，未婚,妇人无缘无故啼哭,或大笑,称妇人发癫,或称女花癫。"
R46,出血症,落象疾,"伤气必然伤血，伤血也必伤气,（yens hxangd jus yens vus英相就英乌，yens VUS jud yen hxangd英乌就英象），血与水相辅相成,血无水不能生，水无血不养人。",出血病是身体不同部位出血的总称，相当于中医的血症，它是苗医的一大症，包括ngol lol hx- angd沃洛象（咳血）、xud ghad lol hxangd休嘎洛象（便血）、xud wal hxangd休沃象（尿血）、hmid lol hxangd迷洛象 （牙出血）^nais lol hxangd 内洛象（鼻出血）Ahxangd hfad loi tut hxangd 象伐洛吐象（经来吐血）、yangt daib diangd ghangb lol hxangd样呆当刚洛象（产后血崩）.hxangd diok象夺（皮下出血）等。
R47,青紫血斑,鬼打印," 风毒，热毒入侵，首先损伤气血,产生气滞血瘀（bongt ax mongl hxangd ax lol笨也门象也洛），皮肤出现青紫血斑。苗医认为深红有内热，青紫为血瘀（lot hxangt gid niangs kaik若痂休尖 仰）,（lot dlaik jangx hxangd dus 若山奖象达）。",若山?象夺，意为青紫色血斑。
R48,紫斑,彼洛彼搜, 先天不足，自幼常流鼻血，或碰伤瘀血，或热毒，热盛，血热旺行溢于肌肤； 气虚气滞血流不畅，形成紫斑。,彼洛彼搜、江象、消董、鬼打印与中医紫斑相似。
R49,风湿性关节炎,稿痂冲,"各种原因以及风寒水湿热毒侵入肢体筋脉、关节，产生筋脉不通，疼痛，麻 木，酸胀，日久伤血伤气,导致关节肿痛成疾。",稿痂冲、俄娘刚棒、蒋风近类似中医的风湿，西医的风湿性关节炎。
R50,类风湿,蒙冲静,由于风寒湿毒热毒侵入人体，损伤气血，筋脉气滞，气血不通，蕴结于骨与 关节之间而成疾。,"过去，苗医不分风湿性关节炎与类风湿而统称僵腱风jangs fangb qid,现代医学传入苗族地区 后才有类风湿gos jab jent 一词。"
R51,痿症,嘎己安埋, 嘎已安埋形成的原因很多，外感毒邪，跌打损伤，外伤内损，先天不足，用药 不当都可以造成痿症。,"嘎己安埋相似于中医痿证，苗医认为筋脉弛缓，手足痿软主要是先天不足，或后天损伤，（dib yens pit gux抵英片高），遗留的内损,（gid niangs yens吉仰英）造成痿症。"
R52,汗症,蒙吉洛欧仰,"诸邪侵入人体，首先伤血、伤气、伤水，气血水三者受损引起血热大汗（hx- angb lol eb hxangb象洛欧象）；伤气引起（Hniangk seil仰赊）,（bongt ax maix lol eb hniangk笨阿迈洛欧象）气虚冷 汗；（hxangb ax maix lol eb hniangk象阿迈洛欧仰）血虚冷汗；（jul hmangt lol eb hniangk吉芒洛欧仰）；半夜出汗 （盗汗）。伤血必伤气，气水相连。",将各种原因的出汗统称汗症。
R53,疽症,沃良吉董拜,"风热邪毒积累损伤气血,热毒走串肌肤，红肿硬结，痒痛，肿块逐渐扩大成 脓。热毒上串引起头痛，头昏，发烧。",沃良吉董拜类似中医的痈。苗医对这类疾病又称内损（吉仰英gid niangb yens） o
R54,嘈杂症,蒙冈谷,"水湿热毒及污秽之物，从口进入胃肠，嘈杂和辣刺，肠中空虚，不知饱饿, 胃肠功能低下。",嘈杂症按苗医翻译为胸口痛，或称胸口辣刺。
R55,燥热,凯休象,燥热伤肺、伤血、伤肺产生干咳，伤血、血热内蕴加重燥热故头痛咽干;伤 水，水湿互结，全身水湿困倦肢体发紧。,刚额、休凯是指暑秋燥气湿热引起的外感病状。
R56,内伤发烧,己茵间仰开,"心情忧虑，神不自定，多思，性急，烦躁欲睡不能,欲起又觉困倦，乃血水失调，血不养神,水不济心造成失眠。","外界暴力，损伤人体,但无皮肤肌肉破损所引起的发热称内伤发烧。"
R57,痢疾,修嘎修董象,"水湿热毒及污秽之物，进入人体后，首先犯血犯水，造成血水失调,大便次 数增多，腹痛，大便先干，随后清淆，便中挟有白色黏液或血。",凡是大便次数增多，腹痛，便中带白色黏液或带血，统称修嘎修董象。
R58,小儿痞子,嘎傣江岗欧袜,"风毒热毒侵入人体主要侵犯气血。气血两伤，热毒化火，出现高烧，热毒 犯血，血热走皮,全身出现密子（疹子）。",苗医称麻疹为（ghab daib jangx gangb eb wal嘎傣江岗欧袜?小儿瘀子）。
R59,百日咳,哦因坦,"邪毒从口鼻侵入人体咽喉、肺部,损伤气血上逆引起咳嗽，咳血，白眼珠出 血，呕吐，颜面浮肿。",哦因坦又名串串咳，类似西医百日咳。
R60,腮腺炎,访蒙芮,"风邪热毒经口传入人体，邪毒伤血、伤水，引起怕冷，发烧，恶心，痛处肿 大,胀痛。","flangk访，意为痍的含意,下颌骨侧面长攬又称猴儿胞（ghab daib jangx pot嘎呆泡）。与西医 的腮腺炎、中医的炸腮相似。"
R61,水痘,嘎傣僵豆欧,嘎傣僵豆欧是一种会过人（传染）的病症。邪毒侵入人体后，出现皮肤疹 子瘙痒，后随为丘疹、黄豆样大小的水疱疹，大约3 ~5天后结痂。,嘎傣僵豆欧、欧豆、夭淘类似中医的水痘。
R62,丹毒,僵岗豆,"风热邪毒从皮肤侵犯血液，身热血热,皮肤出现疹子和热痛，属小疾。",僵岗豆类似中医丹毒，民间称风丹。
R63,痹病,封勒普?拉娜,风热邪毒侵入，午后发热，晚上出冷汗，身体消瘦，脸颊发红，面色苍白，无 力，消化不好，夜间失眠，烦躁，其病在肺，气血受损的征象。,松芮泡普乌是指肺家捞损成疾;稿痂是肺病会过人（传染性）的病症。
R64,肺痹胸痛,松芮普?普乌,邪毒从气骨侵入肺部，引起肺部病症。,"松芮普?普乌，是指胸部疼痛,类似西医的胸膜炎。"
R65,九子疡,僵雄浪,"邪毒热毒侵入人体,首先损伤气血，气血受损，水液凝聚，日久加重血液损 伤，邪毒更盛，脉络受累，颈部出现黄豆样大小结节，结节逐渐增多，形成串珠状，破溃后不易收口。",僵雄浪、雄浪，民间称九子疡。
R66,蜕虫病,嘎傣僵岗书,"由于个人卫生不良,通过小儿污秽的手或指甲而感染。", 嘎傣僵岗书、衬书岗，又称寸白虫。
R67,蛔虫病,僵岗龚, 蛔虫进入肠道引起饮食不好，消瘦，腹痛，蛔虫骚动还可引起胆囊及肠道 的其他疾病。,僵岗龚是指肠道寄生的蛔虫所致的病症。
