id,name,miaoName,speciality,taste,type,function,useLevel
R1,百部,萬嘎得里,性冷,味苦,冷药,润肺止咳，降气化痰,10g
R2,白花蛇舌草,萬冲岗,性平,味淡,两经药,清热，除湿止咳,10g
R3,蒲公英,萬灰萬菲,性冷,味苦,冷药,退烧，止胸痛,15g
R4,金银花,榜佳腔,性冷,味涩,冷药,清热解毒，散热止咳,15g
R5,白花前胡,萬祖别芭,性冷,味苦,冷药,散风清热，降气化痰,10g
R6,十大功劳,潘豆芳,性冷,味苦,冷药,清热，止咳,1躍
R7,折耳根,萬丢,性平,味辛淡,两经药,清热解毒,15g
R8,矮地茶,佳洛浏吉,性冷,味苦,冷药,活血化瘀，止咳平喘,10g
R9,瓜萎,珍花休,性冷,味甜,热药,润肺祛痰,10g
R10,射干,萬达赊芭,性冷,味苦,冷药,"清热解毒,祛痰,利咽",10g
R11,麦冬,珍佳俄董,性热,味甜,"热药",润肺止咳,10g
R12,前胡,萬祖别芭,性冷,味苦,冷药,散风清热，降气化痰,10g
R13,一朵云,萬久碧幼,性冷,味苦,冷药,止咳，化痰,10g
R14,牛莠子,萬相学,性冷,味苦,冷药,宣肺，解表,12g
R15,鹅不食草,萬梗比,性冷,味苦,冷药,清热利湿，温通散寒，止咳，利咽,10g
R16,枇杷叶,豆珍佳,性冷,味苦,冷药,清热解毒，润肺止咳,10g
R17,杏仁,珍蟒,性冷,味苦,冷药,润肺，止咳，止喘,8g
R18,苏叶,嘎欧低,性冷,味苦,热药,润肺止咳，化痰，止喘,8g
R19,木姜子,珍姜,性冷,味幸,热药,温通散寒，顺气止咳,2g
R20,制半夏,科纳,性热,味幸,热药,燥湿化痰,8g
R21,紫莞,萬庆玛,性热,味甜，味幸,热药,理肺止咳，利湿平喘,10g
R22,紫苏,嘎欧低,性热,味甜，味幸,热药,"祛寒，温肺止喘,化痰",8g
R23,桔梗,额俗戈巴,性冷,味苦,冷药,排毒，止咳，宣肺化痰,10g
R24,茯苓,苞姜给打,性热,味甜,热药,利水渗湿，健脾补中,10g
R25,苕叶细辛,佳榜岗,性热,味辣,热药,化痰止咳,6g
R26,石韦,萬里料,性冷,味苦，味甜,冷药,去肺热止咳，凉血止咳,30g
R27,蜂蜜,无,性热,味甜,热药,滋阴补虚,30g
R28,岩白菜,首扎,性热,味甜,热药,润肺止咳,15g
R29,鱼腥草,萬丢,性热,味酸，味涩,热药,清热解毒,15g
R30,刺桑,萬拿,性冷,味苦,冷药,清热利湿,15g
R31,紫背天葵,佳格勒,性冷,味涩,冷药,清热解毒,16g
R32,酢酱草,萬榜学,性冷,味酸,冷药,利湿，化痰,10g
R33,山紫菟,萬庆鸡,性热,味甜,热药,润肺止咳,12g
R34,白芍,芍药,性冷,味苦,冷药,养血柔肝,10g
R35,鹿衔草,萬勇更,性热,味甜，味幸,"热药",祛风除痰,12g
R36,假紫菟,庆玛,性热,味甜，味幸,热药,通窍散寒，祛风除湿,12g
R37,桑叶,豆萬岗,性冷,味苦,冷药,散寒,20g
R38,薄荷,萬壳欧,性热,味辛,热药,疏散风热,8g
R39,地骨皮,豆萬播,性冷,味苦,冷药,凉血退凉血退火，散瘀止血，除湿解毒，消肿止痛，清肺降火，生津止渴火,12g
R40,沙参,仰抵嘎,性热,味甜,冷药,清热养阴，润肺止咳,15g
R41,梔子,珍陆,性冷,味苦,冷药,泻火解毒，清热利湿,10g
R42,紫菟,萬庆玛,性热,味甜,热药,润肺止咳,10g
R43,荆芥,佳姜给,性热,味辣,热药,祛风，通经,8g
R44,瓜篓,无,性冷,味甜,热药,润肺止咳，宽胸散结,
R45,果上叶,佳珍嘎佬苑,性热,味甜,热药,养阴清肺，化痰止咳,12g
R46,蜘蛛香,萬嘎勒,性热,味辣,热药,理气止痛，祛风解毒,
R47,鱼鳏串,萬芮榴,性冷,味苦,冷药,清热止咳,15g
R48,虎耳草,萬比审,性热,味甜,热药,燥湿化痰,10g
R49,小远志,葛里略芭,性冷,味苦,冷药,祛痰开窍，消散痛肿。,10g
R50,厚朴,无,性热,味苦,热药,宽胸理气,12g
R51,铁筷子,嘎炯嘎令豆嘎收,性热,味辣,热药,清热润燥，理气开郁,10g
R52,麻黄,无,性热,味辣,热药,收敛，发汗,10g
R53,八爪金龙,佳比利吉,性冷,味苦,冷药,清利咽喉，散瘀消肿,11g
R54,陈皮,无,性冷,味苦,冷药,止咳化痰,12g
R55,牛毛毡,无,性冷,味苦,冷药,止咳化痰,13g
R56,徐长卿,佳嘎陇给,性热,味辣,热药,通经活络,14g
R57,阎王刺,布佳菲,性冷,味苦,冷药,祛风除湿,15g
R58,菊花,榜葛芜,性冷,味苦,冷药,清热解毒,16g
R59,忍冬藤,榜佳腔,性热,味甜,热药,清热解毒，凉血,17g
R60,白马骨,豆野给,性平,味甜,两经药,止咳止痛，清热解毒,18g
R61,头晕药,佳灰柯,性热,味辣,热药,解表散寒,19g
R62,生姜,无,性热,味辣,热药,辛温祛寒,20g
R63,葱,无,性热,味涩,热药,辛温祛寒,21g
R64,四块瓦,佳九留,性热,味辣,热药,散寒止痛，散瘀解毒,10g
R65,辣蓼,萬疗,性冷,味苦,冷药,祛风利湿,11g
R66,黄荆条,无,性冷,味苦,冷药,疏风散寒,12g
R67,防风,无,性冷,味苦,冷药,驱风，止痛,13g
R68,鱼輙串,萬芮榴,性冷,味苦,冷药,理气消食，清热利湿，解毒消肿,14g
R69,葛根,嘎炯菲,性热,味甜,热药,解表退热，生津止渴,15g
R70,水螟蚣,仰造里,性热,味辣,热药,止咳，祛痰，祛风利湿,10g
R71,马鞭草,佳劳给,性冷,味苦,冷药,发汗解表，清热利湿,10g
R72,野菊花,榜萬芜,性冷,味苦,冷药,清热解毒,10g
R73,贯众,萬吼嘎抖,性冷,味苦,冷药,去热去毒,10g
R74,兔儿风,无,性冷,味苦,冷药,润肺止咳,15g
R75,桑白皮,豆萬岗,性热,味甜,热药,"泻肺平喘,利水，补肝补肾",15g
R76,银杏,珍芭沟豆,性冷,味涩,冷药,养肺，止咳，平喘,12g
R77,炙枇杷叶,榜拉梯,性冷,味苦,冷药,清热利湿，活血,10g
R78,白芥子,无,性冷,味苦,冷药,温中散寒,11g
R79,旋覆花,无,性冷,味苦,冷药,提气止咳,12g
R80,胆南星,无,性冷,味苦,冷药,清心热，止咳、平喘,13g
R81,党参,佳欧芜,性热,味甜,热药,补中益气，健脾，益肺,14g
R82,干姜,凯,性热,味辛,热药,温中散寒，温肺化痰，回阳通脉,15g
R83,细辛,佳榜岗,性热,味辣,热药,发表散寒，化痰止咳,8g
R84,鸡失藤,菖项嘎,性热,味甜,热药,祛风化痰,15g
R85,百合,波嘎梯,性热,味甜,热药,润肺止咳，清心安神,15g
R86,桃仁,珍桐,性冷,味苦,冷药,补肺、止咳,20g
R87,紫蒐,萬庆玛,性热,味甜,热药,润肺止咳，温肺平喘,12g
R88,白薇,挂桂莪,性冷,味苦,冷药,清热凉血,10g
R89,山药,娜丽,性热,味甜,热药,补脾化湿，清热解毒，理气止咳,15g
R90,小蓟,萬布罢娜,性冷,味苦,冷药,滋补精血，清热，止血,15g
R91,大蓟,葛布罢确,性热,味甜,热药,凉血止血，散瘀消肿，解毒,15g
R92,野油菜,油欧,性热,味辣,热药,祛痰止咳，解表散寒,15g
R93,仙鹤草,佳嘎吉给,性冷,味苦,冷药,收敛止血,12g
R94,旱莲草,萬嘎相,性热,味酸,热药,凉血益阴,16g
R95,白茅根,仰嘎姬,性热,味甜,热药,清热利尿，凉血止血,15g
R96,夏枯草,萬坝仰,性冷,味苦,冷药,清热解毒,15g
R97,连钱草,萬比赊溜,性冷,味苦,冷药,清热解毒,18g
R98,芦根,佳额酒,性热,味甜,热药,清热利湿,20g
R99,银花,榜佳腔,性热,味甜,热药,清热解毒,10g
R100,连翘,葛里略坝,性冷,味苦,冷药,凉血,8g
R101,竹叶,仰格陇给,性冷,味淡,冷药,清热除烦，化痰止咳,10g
R102,三匹风,布幼打,性冷,味苦,冷药,清热解毒）,20g
R103,白及,乌旧,性冷,味苦,冷药,润肺止咳，收敛止血,10g
R104,水三七,萬久欧,性冷,味苦,冷药,止咳祛痰,12g
R105,岩豆工豆,肝努净菸,性冷,味苦,冷药,清热解表，宣肺止咳,10g
R106,阳雀花根,姬佳诺,性热,味甜,热药,补气养阴,20g
R107,鳖甲,无,性热,味甜,热药,滋阴，补肾，活血。,15g
R108,茵仁米,珍陡,性平,味甜,两经药,健脾，清热解毒,20g
R109,桂枝,无,性平,味甜,两经药,辛温利湿,8g
R110,血人参,血人参,性热,味涩,热药,滋阴补肾，补气涩血,20g
R111,扁豆,无,性热,味涩,热药,健脾，利湿,20g
R112,柴胡,无,性热,味涩,热药,疏肝理气,8g
R113,棉花根,嘎炯芒桑,性冷,味苦,冷药,祛风,20g
R114,茜草,萬仰西,性热,味酸,热药,止咳祛痰,15g
R115,桑甚,豆萬岗,性热,味甜,热药,滋阴养血，补肝益肾,20g
R116,黄精,凯欧,性热,味甜,热药,补气养水，健脾益气，滋阴润肺,20g
R117,三枝茶,嘎佬豆金,性热,味苦,热药,镇静，安神,18g
R118,地米参,无,性热,味苦,热药,补血调经，敛汗,18g
R119,何首乌,萬朴翁,性热,味甜,热药,补肝肾，养精血,20g
R120,吴萸,豆卡欧,性热,味辣,热药,温中，散寒，燥湿，理顺止痛,13g
R121,八角莲根,雅佳莲,性冷,味苦,冷药,理气，解毒止痛,18g
R122,五香血藤,嘎龚真宫幼,性冷,味苦,冷药,顺气止痛，祛风通经脉，活血消肿,15g
R123,香附,仰松芭,性热,味辛,热药,理气疏肝，止痛,10g
R124,苦楝,豆姜给,性冷,味苦,冷药,理气止痛,10g
R125,乌药,萬山落,性热,味辛,热药,温胃散寒，理气止痛,10g
R126,地苦胆,苞脚桑,性冷,味苦,冷药,清热解毒，通经络,6g
R127,三颗针,豆比吼哈羌,性冷,味苦,冷药,清热燥湿，泻火解毒,1源
R128,红藤,无,性冷,味苦,冷药,清热，活血，化瘀,15g
R129,半枝莲,佳萬遍尖脑,性冷,味苦,冷药,清热解毒，活血祛瘀，消肿止痛,15g
R130,律草花,榜萬就,性冷,味苦,冷药,清热解毒，利水消肿,20g
R131,败酱草,佳美勒,性冷,味苦,冷药,清热解毒，止痛散结,15g
R132,紫花地丁,萬灰卡娜,性冷,味苦,冷药,解毒，清热，消肿,30g
R133,白毛夏枯草,佳兴松,性冷,味苦,冷药,清热解毒，化痰止咳，凉血化瘀,30g
R134,茂仁米,珍陡,性平,味甜,两经药,健脾，利湿，清热解毒,30g
R135,见血飞,嘎龚布梭学嘎八,性冷,味苦,冷药,活血化瘀止痛,15g
R136,千里光,萬欧吾,性热,味辣,热药,清热解毒,30g
R137,水冬瓜根皮,嘎炯令豆得,性热,味辛,热药,活血化瘀,20g
R138,苦芥头,阿梅棍,性冷,味酸,冷药,清热解毒，祛瘀排脓，消肿止痛,20g
R139,养菜,萬娜,性热,味甜,热药,清热,20g
R140,马蹄金,萬比赊幼,性冷,味苦,冷药,清热解毒，活血，化瘀,15g
R141,土大黄,萬灰秋,性冷,味苦,冷药,清热解毒,15g
R142,鸡蛋壳,无,性冷,味苦,冷药,收敛和胃，止酸，止痛,100g
R143,青藤香,无,性冷,味苦,冷药,止痛,10g
R144,隔山消,无,性冷,味苦,冷药,消食化积,10g
R145,水黄连,糯独佳开都,性冷,味苦,冷药,清热利湿，解毒,10g
R146,穿心莲,无,性冷,味苦,冷药,"清热解毒,止痛",15g
R147,乌药煎水,萬山落,性热,味辛,热药,温胃散寒，理气止痛,10g
R148,黄苗,无,性热,味辛,热药,补气补血,20g
R149,良姜,无,性热,味辛,热药,理气止痛,10g
R150,路路通,珍豆蟒,性冷,味苦,冷药,理气散结，通络,15g
R151,委陵菜,葛哈收,性冷,味苦,冷药,清热解毒，凉血,20g
R152,苦养头,苦养头,性冷,味酸,冷药,清热解毒,20g
R153,地榆,葛卧俄,性冷,味酸,冷药,凉血,15g
R154,石菖蒲,佳保耶,性热,味辣,热药,除湿,10g
R155,土三七,萬久欧,性冷,味苦,冷药,清热解毒,10g
R156,蕾香,佳萬姣米,性热,味辛,热药,清热解表，温中化湿,20g
R157,红花,无,性热,味辛,热药,养血活血,60g
R158,一支黄花,窝乃略芭,性冷,味苦,冷药,疏风清热,30g
R159,皂角刺,播整路,性热,味辛,热药,活血消肿,15g
R160,黄芷,无,性热,味辛,热药,补气，活血，养血，拔脓生肌,30g
R161,香樟根,嘎炯豆收,性热,味辛,热药,芳香顺气,10g
R162,山乌龟,无,性热,味辛,热药,止腹痛,12g
R163,青木香,佳蒙枪,性冷,味课,冷药,理气止痛,6g
R164,太子参,嘎炯令潘闹,性热,味甜,热药,"补气生津,健脾",10g
R165,花椒,珍莎,性热,味辣,热药,温中散寒，燥湿,4g
R166,木香,佳蒙枪,性冷,味苦,冷药,健胃止痛，解毒,6g
R167,马齿苑,葛米仰,性冷,味酸,冷药,清热利湿，凉血解毒,15g
R168,刺梨根,珍布渴,性热,味酸,热药,消食健脾，收敛止泻,50g
R169,石榴皮,阿龚豆榴,性热,味苦,热药,收敛止痢,10g
R170,红糖,无,性热,味苦,热药,温中散寒,10g
R171,大蒜,无,性热,味苦,热药,杀毒止泻,10g
R172,白酒,无,性热,味苦,热药,增强药效,10g
R173,白糖,无,性热,味苦,热药,调味,10g
R174,粟壳,无,性热,味苦,热药,镇静，收敛止泻,10g
R175,骚羊古,萬勇哥,性冷,味辣,冷药,解毒消肿,20g
R176,山楂,珍访象,性热,味甜,热药,收涩止泻,15g
R177,麦芽,嘎腔赶芒,性热,味甜,热药,健脾和胃，行气消食,15g
R178,水葵花,佛花,性热,味甜,热药,清热止吐,10g
R179,竹茹,无,性热,味甜,热药,降气止呕,10g
R180,三棱,无,性冷,味苦,冷药,破血化瘀,10g
R181,莪术,无,性冷,味苦,冷药,破血活血止血,10g
R182,小种三七,无,性冷,味苦,冷药,活血化瘀,15g
R183,七叶莲,佳莪罢,性冷,味苦,冷药,活血止呕,20g
R184,赤芍,达柯芍,性冷,味苦,冷药,凉血散瘀，消肿止痛。,10g
R185,阳雀花,姬佳诺,性热,味甜,热药,补气养阴,20g
R186,土鳖虫,岗馒蚱,性热,味辣,热药,活血化瘀，通经止痛,12g
R187,糯米团,萬巴象,性平,味淡,两经药,健脾消食，清热利湿,20g
