id,illness,symptom,belong
0,热经头昏目眩症,天昏地转，发怒，尿黄，,热经热病
1,冷病血虚目眩症,"头昏目眩，面色苍白,",冷经冷病
2,冷经气虚头昏目眩症,"视物转动，少气懒言,",冷经冷病
3,热经中邪,"高烧大汗四肢抽搐,",热经热病
4,冷病中邪,"气短，缩手缩脚，神志恍惚,",热病中邪
5,燥火损伤肺气,"烦躁不安，高烧不退,",热经热病
6,燥火损伤肠胃,发烧、口渴,热经热病
7,燥火燥湿,,冷热并病
8,半边经,"半边肢体麻木，行走一侧不便，口语不清,",半边经证
9,偏头痛,一侧头痛，怕冷，怕风，,冷经冷病
10,抖症,"全身发抖不能自制,",热经热病
11,热病血虚心慌,心慌气急，面部发红，口干，,热经热病心慌
12,冷病气血两虚心慌,"心慌，面色苍白，四肢冷,",冷经冷病
13,肺家寒毒咳嗽,"咳嗽，痰清稀,有泡沫，怕冷，",冷经冷病
14,肺家风邪热毒咳嗽,咳嗽痰稠，发烧，怕风，,热经热病
15,肺家痰湿寒毒咳嗽,咳嗽，痰多，色白，,冷经冷病
16,热经耳鸣·耳聋,耳鸣、耳聋，面红、口苦、痰黄,热经热病
17,冷经耳鸣·耳聋,从耳鸣到失去听力，声音低沉,冷病
18,肠漏,,冷经冷病肠漏
19,热经脐带溃烂（Baix daib qub mak ghab不独秋木嘎）,脐烂，发烧,热经热病
20,热病脐流血（Bak duf iol hxangd部独洛象）,"发烧，脐部流血,",热经热病
21,热病脐部流水（Buk duk dlax部独酒）,红肿热痛,热经热病
22,冷经脐带突出（Buk duk hvib部独希）,脐部反复突出,冷经冷病
23,气虚出汗,出汗，怕风，怕冷,冷经冷病
24,血虚出汗,"自行出汗，面色苍白，小便清长,",冷经冷病
25,虚热出汗,"半夜出汗,脸潮红，",冷经虚热出汗
26,热毒出汗,发热汗出，面红，口苦,热经出汗
27,热经湿热吐血,吐血，腹痛，口干,热经热病
28,热经尿血,"尿血,尿道热辣刺痛，",热经尿血
29,冷经尿血,"尿血，短气无力，四肢冷,",冷经尿血
30,热经风热青紫血斑,"青紫血斑,起病急，发烧，",热经热病
31,热经血热青紫血斑,"高烧不退,",热经热病
32,冷经气虚青紫血斑,"青紫瘀斑反复发作，病程较长,",冷经冷病
33,冷经血虚青紫血斑,"青紫血斑,色淡红，时发时止,",冷经冷病
34,血虚健忘,健忘，腰腿酸软，,冷经血虚健忘
35,热经心血受损健忘,"善忘，面唇暗红,",热经热病
36,热经湿热吐血,吐血，腹痛，口干,热经热病
37,热经胃热牙出血,牙龈红肿，疼痛，口臭，,热经热病
38,冷经血虚牙出血,"牙出血，牙龈不红不肿,",冷经冷病
39,热病小肚血瘀,"排尿疼痛,尿血，",热经热病
40,热病血瘀成脓,痛处胀肿，发烧，疼痛，,热经热病
41,冷病瘀阻经络,"关节疼痛,不红不肿,",冷经冷病
42,冷病气血瘀滞,"血瘀，局部刺痛，脸面浮肿,",冷经冷病
43,冷病瘀阻血脉,"痛处皮肤发凉，遇冷疼痛加重,",冷经冷病
44,冷病血脉瘀阻,"手脚发冷，偏瘫，或截瘫,",冷经冷病
45,冷病气虚血瘀,怕冷，水肿,冷经冷病
46,茵笨洛象冷经内伤便血,"便血，面色苍白，四肢无力，大便清稀,",冷经冷病
47,茵笨洛象冷经内伤便血,"下血鲜红，肛门灼热,",热经便血
48,茵笨洛象冷经内伤便血,病急、出血量多，色红，,热经热病
49,茵笨洛象冷经内伤便血,病程长，四肢冷，面色苍白,冷经冷病
50,布兜凯迷洛象胃热牙出血,"齿龈红肿,喜冷饮，尿少色黄,",热经热病
51,布兜凯迷洛象胃热牙出血,"牙齿红肿出血，血色鲜红,",热经热病
52,呼勒普凯芮洛象肺热出鼻血,鼻出血，血色鲜红，发热，,热经热病
53,呼勒普凯芮洛象肺热出鼻血,"鼻出血鲜红，鼻腔干燥,",热经热病
54,呼勒普凯芮洛象肺热出鼻血,"鼻出血，色鲜红，尿少色黄,",热经热病
55,凯洛沃洛象热毒咳血,"咳嗽，痰黄，痰中带血,",热经热病
56,凯洛沃洛象热毒咳血,"痰中带血，色红，尿少色黄,",热经热病
57,凯洛沃洛象热毒咳血,吐血，胸闷，胁痛，双目赤红,热经热病
58,红丝疔,怕冷，寒战，高烧，,热经热病
59,热经风热鼻出血,"发热，鼻出血,",热经热病
60,热经鼻出血,鼻流血，口渴，鼻臭，,热经热病
61,热经腹泻,腹痛，肛门灼热、尿少、色黄,热经腹泻
62,冷经腹泻,"大便清稀,下肢冷，久泻不止",冷经腹泻
63,热经水肿,四肢水肿、咽喉红肿、发烧,热经热病
64,冷病气血两虚水肿,水肿，肢冷，腹胀，,冷经冷病
65,皮肤痈子,红肿、疼痛，,热经热病
66,皮肤痒疹,皮肤疹子遇风加重，流血，,热经热病
67,肩周炎,怕风，怕冷，,冷经冷病
68,冷病风寒感冒,"怕冷,不出汗，咳痰清稀",冷经冷病
69,热经风热感冒,"发烧、痰黄黏稠、尿少色黄,",热经热病
70,热经烂喉痧,咽喉肿痛，高烧，怕冷,热经烂喉物
71,热毒泛血烂喉痧,高烧，脸红，,热经热病
72,白斑病,"病程缓慢，不痛不痒,",冷经冷病
73,风邪疙瘩,发烧，起红疙瘩及疹子,热经热病
74,冷经风湿性关节炎,关节冷痛，麻木,冷经冷病
75,热经风湿性关节炎,关节红肿疼痛，,热经热病
76,冷经风寒咳嗽,咳嗽，怕冷，小便清长,冷经冷病
77,热经风热咳嗽,咳嗽，身热，出汗,热经热病
78,兰蛇缠腰,发烧，皮肤起红色斑疹，刺痛，,热经热病
79,兰蛇挂膀,发烧，疼痛，,热经热病
80,兰蛇钻心,"高烧、剧烈疼痛,",热经热病
81,流眼泪,"遇风遇寒流泪加重,",冷经冷病
82,热湿互结类风湿,关节红肿疼痛、发热,热经热病
83,热经气滞血瘀类风湿,疼痛，红肿，,热经热病
84,冷经寒湿阻滞类风湿,关节肿痛，面色苍白，怕冷，,冷经冷病
85,风毒蒙冲净,发烧，疼痛，,热经热病
86,寒毒蒙冲净,关节肿痛不红，小便清利，怕冷，,冷经冷病
87,水湿蒙冲净,"关节疼痛，不红不肿,",冷经冷病
88,血虚蒙冲净,"关节肿痛，消瘦，面色痿黄,",冷经冷病
89,冷经支气管炎,"痕喘怕冷，咳白色泡沫痰,",冷经冷病
90,热经支气管炎,岀汗，脸红，身热，,热经热病
91,冷经腹痛,肚痛怕冷，小便清长,冷经腹痛
92,热经湿疹,"起病急，疹子色红,",热经热病
93,冷经湿疹,皮疹出现后，皮肤变厚，粗糙，,冷经冷病
94,面部湿疹,疹子出血发红，,热经热病
95,冷经晕症,"头晕，面色苍白,",冷经冷病
96,热经晕症,"面色发红，头晕不能站立,",热经热病
97,冷病水湿瘟疾,怕冷、无汗、大便清稀，,冷经水湿瘟疾
98,热病水湿瘟疾,食后发烧，尿少，,热病水湿疫疾
99,热经尿路疼痛,"发烧，口苦，尿黄，尿道疼痛,",热经热病
100,冷经尿路疼痛,"少气懒言，面色苍白,",冷经冷病
101,热经燥邪伤肺,"本症口、鼻、咽喉干燥有小汗,",热经热病
102,热经燥气化火,本症,热经热病
103,热经燥邪伤胃,本症,热经、热病
104,冷经燥湿伤肺,本症,冷经冷病
105,火毒伤皮,烧伤,热经热病
106,火毒伤血,烧伤,热经热病
107,火毒攻心,,热经热病
108,热病妇人经水不调,"经色红有块，两胁胀痛,",热经热病
109,冷病妇人经水不调,"经水来潮不定,经量少色淡,",冷经冷病
110,冷热并病妇人经水错后,经水推迟，色暗红，有血块，为热象;面色苍白，怕冷，又系冷象。,冷热并病
111,冷病经水错后,经水来潮延后，量少，色淡，,冷经冷病
112,热病妇人经水提前,"经水来潮提前，量多色红,",热经热病
113,冷病妇人经水提前,"经水提前，色淡，质稀薄,",冷经冷病
114,冷病经水过多,"经水过多，面色苍白，经色清稀,",冷经冷病
115,热病经水过多,经水过多，色红，尿黄，,热经热病
116,冷病经水过少,"月经量少，点滴即净,",冷经冷病
117,热病经水过少,"经水过少，色紫黑,有血块，","热经热病,"
118,妇人冷病血虚断经又来,"经水复来,量不多，色红，",冷病血虚断经又来
119,肠胃虚弱经水又来,"食少，腹胀，经水又来，色淡，量不多,",冷经冷病
120,妇人湿热断经又来,经水色红，量多，不思进食，尿少，色黄，,热经湿热
121,妇人湿毒断经又来,"经水复来，量少，色红，久久不净,",热经热病
122,热病月经鼻衄,经水来潮前流鼻血，色红，量多，,热经热病
123,冷病月经鼻衄,"月经时量少,流鼻血，",冷经冷病
124,热病妇人经水大下,本症经水色红，有块，尿黄，,热经妇人经水大下
125,冷病妇人经水大下,"面色苍白，手足不温,",冷经妇人经水大下
126,经来便血,"经来便血，色深红,",热经热病
127,热病月经发烧,全身热，嘴唇干燥，发红，,热经热病
128,冷病月经发烧,"经水来潮发烧，怕冷，少气懒言,",热经热病
129,冷病经来浮肿,经来浮肿，量多，色淡，,冷经冷病
130,热病经来浮肿,"经水来潮胸闷腹胀,",热经热病
131,冷病月经风疹块,面色苍白，经少，色淡，,冷经冷病
132,热病月经风疹块,风团块色红，口渴，尿黄，,热经热病
133,经来腹泻,经来腹泻，四肢冷浮肿，,冷经冷病
134,冷病月经身痛,"经来身痛，量少，色淡，全身无力,",冷经冷病
135,热病月经身痛,"经来身痛，身热，有血块,",热经热病
136,热病经来头痛,经来头痛，口苦，咽干，,热经热病
137,冷病经来头痛,经来头痛，身冷，少言，,冷经冷病
138,月经情志异常,本症,热经热病
139,热病经水来潮肚痛,经水来潮肚痛，经色紫暗有块，小腹灼热，尿黄,热经热病
140,冷病经水来潮肚痛,"经来腹痛，量少，色淡，面色苍白,",冷经冷病
141,冷病经期口舌生疮,经来口腔溃烂，经量少，,冷经冷病
142,热病经期口舌生疮,"月经前后，口舌生疮,经量多、色红，",热经热病
143,冷病妇人经水不来,"体虚月经推迟，四肢无力,",冷经冷病
144,热病妇人经水不来,乳房、小肚胀痛，,热经经水不来
145,冷经怀孕呕吐,本症口淡无味，不思饮食，吃后即吐,冷经冷病
146,热经怀孕呕吐,怀孕早期，恶心呕吐，口干口苦，,热经怀妊呕吐
147,孕妇发晕症,"突然晕倒不省人事,",哑经发晕为小疾
148,怀崽贫血,"怀孕贫血非一日之寒,",冷经冷病为小疾
149,产后风寒身痛,养傣后（产后）周身关节疼痛，喜热怕冷，,冷经风寒身痛
150,养傣后气血两虚身痛,"产后关节疼痛，麻木，四肢无力,",冷经身痛
151,冷经血虚恶露不断,产后恶露不净，量多，色淡，,冷经冷病
152,热经恶露不断,"恶露不断，色暗有块,",热经恶露
153,养傣气虚多汗,养傣后（产后）汗多，怕冷，,冷经虚弱多汗
154,养傣虚热多汗,养傣虚热多汗，面色潮红，,热经虚热多汗
155,热病小便异常,产后小便短少，淋漓灼痛，带血，,热病
156,冷病小便异常,"产后小便不通，面色苍白,",冷经冷病
157,冷病气虚血虚小产,面黄，肢体无力，气短，,冷经冷病
158,冷病肾虚小产,"肾虚，腰腿酸软,",冷经冷病
159,热经血热小产,"阴道流血，色红、脸红、手心发热、胎儿下坠,",热经热病
160,冷病怀孕痛肚,怀崽小肚疼痛，脸色萎黄，手脚冷,冷病
161,热病怀崽痛肚,口渴，手脚发热，,热病
162,冷病养傣伤血,"产后经水不来，头晕眼花,",冷经冷病
163,养傣伤己,"产后经水不来，形寒怕冷，四肢凉,",冷经冷病
164,冷经流产出血,"流产出血,色暗红或淡红，四肢冷,",冷经出血
165,热经流产出血,"流产出血,色暗红，发烧，",热经出血
166,气血两虚头晕,产后失血过多，面色苍白，,冷经气血两虚
167,快经血瘀头晕症,"牙关紧闭，不省人事,",热经、快经病症
168,养傣气血两虚肚痛,妇人养傣后小肚疼痛，面色苍白，,冷经虚症肚痛
169,热经血瘀挟寒肚痛,养傣小肚疼痛，恶露色紫有块，,热经血瘀腹痛
170,产后便秘,养傣大便干结，,热经热病
171,热经气血两虚发烧,产后高烧不退，尿黄，,热经热病
172,热经外感邪毒发烧,产后恶寒发烧，,热经热病
173,热经血热发烧,"产后时冷时热,经色暗夹块,",热经热病
174,产后低烧虚弱,经色淡，质稀,冷经冷病
175,冷经妇人不孕症,形体消瘦，婚后同居2年以上不孕，,冷经气血虚弱不孕症
176,热经不孕症,"形体肥胖,经量少，色暗，有小血块，",热经不孕症
177,冷病血虚带下过多,带下色淡，四肢小腹冷，,冷经冷病
178,热病血虚白带过多,烘热汗出，尿黄，经水有血块，,热经热病
179,热病血虚白带过多,烘热汗出，尿黄，经水有血块，,热经热病
180,白带过少症,"带下减少，全身无力,",冷经冷病
181,热病月经期乳房胀痛,"乳房胀痛，经色暗红,",热经热病
182,冷病月经期乳房胀痛,"乳房胀痛,经量少，色淡，",冷经冷病
183,热经妇人外邪阴痒,阴痒、带下色黄、口苦，本症,热经热病
184,热经妇人瘙痒,阴痒灼热，手脚心发热，,热经热病阴痒
185,冷病气虚子宫脱出,"形体消瘦，怕冷，尿脖落出,",冷经冷病
186,冷病血虚子宫脱出,子宫脱出，腰背冷痛,冷经冷病
187,气滞血瘀乳房长结,乳房结疳，,冷热并病
188,血脉失调乳房长结,"经期结来随之缩小,经来时肿大胀痛，",冷热并病
189,冷经乳汁自出,面色苍白，气短，,冷经冷病
190,热经乳汁自出,"乳汁量多而稠，大便干结,",热经热病
191,冷经气血两虚乳汁不来,"面色苍白，四肢无力,",冷经冷病
192,热经乳汁不来,"身微热，乳汁不来，或甚少,",热经热病
193,肠胃虚弱绝经骨质疏松,腰膝酸软，四肢无力，怕冷，面色苍白,冷经冷病
194,气血两虚绝经骨质疏松,绝经四肢酸软，冷痛，,冷经冷病
195,血虚绝经骨质疏松,"两腿酸软无力，手脚心热,出冷汗",冷经冷病
196,妇人血虚老年多样病,经水断后，时冷时热，腰酸，,冷经冷病
197,妇女气虚老年多样病,腰背冷，尿清长，经水色淡,冷经冷病
198,冷经产后身疼,"产后怕冷,夜尿多",冷经冷病
199,热经养傣后身疼,"养傣后关节红肿疼痛，恶露夹有血块,",热经热病
200,热经妇人小肚疼痛,发热、尿少、色黄,热经热病
201,冷经妇人小肚疼痛,"小肚胀痛，经水来潮时疼痛加重,",冷经冷病
202,热经伐僵点,阴户一侧或两侧肿痛成脓，发烧，,热经热病
203,冷经伐僵点,阴户肿块坚硬，皮色不变，不痛，,冷经冷病
204,急性乳腺炎,"乳房红肿疼痛,",热经热病
205,热病经来眩晕,"经水来时，头晕目眩，站立不稳，恶心呕吐,",热经热病
206,冷病经来眩晕,"月经量少，头晕目眩，面色苍白,",冷经冷病
207,妇男冷病遗精,"滑精，面色苍白，少气，头昏目眩,",冷经冷病
208,热病遗精,遗精，口干，目赤，尿黄，尿少，,热经热病
209,热病妇男早泄,口苦、咽干、尿少、色黄，,热经热病
210,冷病妇男早泄,面色苍白，形体消瘦,冷经冷病
211,热经妇男阳痿,年轻力壮房事不举，,热经热病妇男阳痿
212,冷经妇男阳痿,妇男阳事不举，怕冷，面色苍白，,冷经妇男阳痿
213,妇男热毒尿血,尿血，怕冷，发烧，,热经热病
214,妇男湿热尿血,尿血，小便少，口苦，口渴，,热经热病
215,妇男气血两虚尿血,"尿血，少气懒言,",冷经冷病
216,小儿风热感冒,感冒、发烧，出汗,热经热病
217,小儿风寒感冒,感冒、头痛、咳嗽、流清涕,冷经冷病
218,小儿肠胃虚弱贫血,面色苍白，气短，贫血，,冷病
219,小儿气血两虚贫血,"口唇苍白，气短为气血两虚,",冷经冷病
220,小儿冷经吼疱,"咳嗽，痰鸣，怕冷无汗,",冷经冷病
221,小儿热经吼疱,咳喘发热面红，,热经热病
222,小儿外伤，风寒咳嗽jent seil ait ngol英赊按哦,怕冷，无汗，,冷经冷病
223,小儿外伤，风热咳嗽jent dul hleib ait ngol英都输按哦,发烧、痰黄、黏稠，,热经热病
224,小儿内损肺热咳嗽Hsongb nais pob mongb kaib ait ngol松勒普蒙凯按哦,发烧、尿黄、口渴,热经热病
225,小儿内损痰湿咳嗽Ait ngol hxeb按嘎漠,"咳嗽,痰白色，量多，",冷经冷病°
226,小儿内损血虚咳嗽Hxangb xus ait ngol象休按哦,"咳嗽、午后发烧,",热经热病
227,小儿内损气虚咳嗽Bongt ax vas ait ngol笨阿乌按哦,咳嗽，怕冷，脸色苍白,冷经冷病
228,热毒鹅口疮,"口腔红肿，小便色黄，大便干结,",热经热病
229,胃热鹅口疮,"咽干，舌燥，手脚心热,",热经热病
230,湿热鹅口疮,咽干，口臭，,热经热病
231,小儿口疮,口腔发热肿痛，,热经热病
232,热经马牙症,疼痛啼哭，满口糜烂，发烧,热经热病
233,冷经马牙症,"口腔溃烂，久久不愈,",冷经冷病
234,冷经痛肚,"肚腹阵痛，得热缓解,",冷经痛肚
235,食积痛肚,痛肚怕冷，暧腐吞酸，,冷经食积痛肚
236,热邪肚痛,痛肚、潮热、口渴,热经肚痛
237,小儿虚弱汗症,自汗，怕冷，手指，脚趾发凉,冷经虚弱汗症
238,气血不调汗症,自汗，怕风，,冷经冷病
239,气血两虚汗症,"出汗身冷,",冷经冷病
240,食积（陇阿洛 Nongx ax lol ghax）,"精神不振，面黄肌瘦,",冷经冷病
241,喂养不当，营养不良,"精神不好，消瘦，发育不好,",冷经冷病
242,虫积（岗龚仰洛 Gangb jongb niangb not）,"肚腹胀大，面黄肌瘦,",冷经冷病
243,气虚厌食、偏食,不想进食，乏味，腹胀，或食而不化，,冷经冷病
244,血虚厌食、偏食,食少，手脚心发热，,冷经冷病
245,热经小儿浮肿,"发烧，全身浮肿,",热经热病
246,冷经小儿浮肿,"浮肿，身倦乏力,",冷经冷病
247,冷邪厚皮症,"肌肤硬肿，全身发冷,",冷经冷病
248,冷经气虚血少厚皮症,"全身冰冷，肌肤板硬,",冷经冷病
249,热经伤食泻肚,腹胀，口臭，尿黄,热经伤食泻肚
250,湿热泻肚,泻肚发烧，尿少色黄,热经热病
251,冷经风寒泻肚,"泻肚大便稀烂，小便清长,",冷经泻肚
252,冷病虚弱泻肚,"四肢冷，水谷不化,",冷经冷病
253,冷病肠胃虚弱夜哭,"肠胃虚弱，四肢欠温，夜间啼哭,",冷经冷病
254,冷病血虚夜哭,"夜哭，怕冷，唇舌淡红,",冷经冷病
255,冷病小儿中邪夜哭,受惊，夜哭，,虚弱冷经病
256,热经血热夜哭,夜哭，尿黄，脸红，,热经热病
257,小儿脱发,"头发脱落稀少，不思饮食,",冷经冷病
258,婴儿热经吐奶,吐奶，身热，尿黄，,热经
259,婴儿冷经吐奶,婴儿吐奶湎色苍白，四肢冷，,冷经
260,奶积停食,小儿吸乳不化，多,冷病虚症
261,五谷停食,吐物酸馒，面色青黄,冷病虚症
262,热经婴儿胎黄,"皮肤眼球巩膜发黄，颜色鲜明,",热经热病
263,冷经婴儿胎黄,"皮肤黄，色暗，四肢冷,",冷经冷病
264,小儿流口水,"口水黏稠，尿少色黄,",热经热病
265,小儿遗尿,气虚血少，梦多尿液自行排出，,冷经遗尿
266,小儿关节肿痛,"关节疼痛，沉重麻木，久治不愈,",冷经冷病
267,水痘轻症,起病急，发烧，,热经热病
268,水痘重型,起病急，高烧，,热经热病
269,热经衬耳癀,耳下肿胀，疼痛，发烧，怕冷，,热经热病
270,热经癀毒窜耳,漬毒窜耳，高烧，浮肿，,热经热病
271,冷热并病串串咳,咳嗽痰清,冷热并病
272,热经串串咳,"咳重，咯吐鲜血,",热经热病
273,串串咳恢复期,"咳嗽减轻，咳声减弱,或恢复，病情转入正常",
274,小儿疔子,"高烧,出疹子，色红，",热经热病
275,热经红白痢,大便脓血，发烧或不发烧,热病
276,热经毒痢,起病急，发烧，泻痢脓血,热经热病
277,冷经下痢,"下痢日久，形寒怕冷,",冷经冷病
278,风毒火眼,眼红肿热痛，发烧，,热经热病
279,热毒火眼,起病急，眼红，肿痛，,热经热病
280,热经淋病,"小便灼热，刺痛，尿中夹石带血,",热经淋病
281,冷经淋病,"小便滞涩，病程长,",冷经冷病
282,热经黄疸,尿黄、发烧恶寒，,热经、热病
283,冷经黄疸,全身及眼珠发黄，怕冷，便稀，,冷经、冷病
284,手脚癣,,冷热并病，夏秋季节发病为热病;冬春缓解为冷病
285,甲癣,甲癣不红不肿，不痛，,冷经冷病
286,热经水臌病,"肚大如臓,面色暗淡，发烧，口苦",热经热病
287,冷经水臌病,肚大腹水，怕冷，,冷经水臓病
288,热经胃痛,"胸口辣痛，胃中灼热,",热经热病
289,冷经胃痛,"胸口疼痛，四肢冷,",冷经冷病
290,冷经俗象,面色苍白，手脚发冷，便淆，,冷病俗象
291,热经俗象,"口渴，烦热，口吐清水或血,",热经热病
292,热经吐酸水,"胃胱胀闷,吐酸水，口苦，",热经热病
293,冷病吐酸水,"口吐酸水，四肢不温,",冷经冷病
294,大肠热疾,剧烈疼痛，恶心呕吐,热经热病
295,肚肠疼痛早期,肚痛怕冷，发热，,热经肚肠疼痛
296,肚肠疼痛晚期,"肚肠疼痛剧烈，消瘦，面色苍白,",冷经冷病
297,热病打嗝,"打嗝声音洪亮，多喜冷食,",热经打嗝
298,冷病打嗝,"面色苍白，四肢冷,",冷经打嗝
299,嘈杂热心痛（Mongb dliud kiad蒙秀凯）,吐酸，口臭，喜冷，,热经热病
300,嘈杂冷心痛（Hongb dliud seil蒙秀赊）,"不思饮食，食后饱胀,",冷经冷病
301,嘈杂血虚痛,"面色苍白，口唇色淡,",冷经冷病
302,热病呕吐,"突然恶心呕吐，胸闷不适,",热经热病
303,冷病呕吐,"面色苍白，进食稍多随即呕,",冷经冷病
304,热经小便困难,小便困难，尿少，尿热，,热经热病
305,冷经小便困难,"排尿困难，怕冷，口不渴,",冷经冷病
306,手腕扭伤Ghab ghongd bil wes mongb嘎分别乌蒙,突然损伤红肿热痛，,热经热病
307,颈部扭伤 Mongb ghab ghongd · jangd dlangb 蒙嘎宫·浆桑,颈部扭伤红肿，,热经热病
308,手道拐（肘关节）扭伤Ghus lius hxenb hsongd hsad嘎别沙松康,扭伤肿胀，疼痛,热经热病
309,肩膀（肩关节）扭伤Guf jil dib yens告尖抵茵,肩部扭伤，肿胀，疼痛，,热经热病
310,腰扭伤Ghab diub liux mongb嘎丢溜象,突然扭伤，疼痛，,热经热病
311,膝关节扭伤Hfud mes liux mongb虎没溜象,"膝关节扭伤，疼痛,肿胀,",热经热病
312,螺丝拐（踝关节）扭伤Git gheib lob wes mongb抵尖洛乌蒙,突然扭伤疼痛，,热经热病
313,跌打损伤,,冷热并病
314,冷病血虚劳伤,心慌，面色苍白，四肢麻木，,冷经血虚劳伤
315,热病胃肠虚弱劳伤,口干舌燥，不思饮食，面色潮红，,热经胃肠虚弱
316,热经肺虚劳伤,干咳，甚者带血，咽干，面色潮红，,热经肺虚劳伤
317,冷经肾虚劳伤,腰酸，遗精，阳痿，面色苍白，少气懒言，,冷经肾虚劳伤
318,热经痿症,发病急，发烧，,热病
319,热经骨痛,"骨痛，高烧，昏迷乱语,",热经热病
320,冷经骨痛,形体消瘦，面色苍白，,冷经冷病
321,热经臁疮,红胀，疼痛，,热经热病
322,冷经臁疮,"下肢溃烂，流水清稀,",冷经冷病
323,冷经骨质增生,四肢发软，麻木，,冷病
324,热经骨质增生,关节疼痛、麻木、皮色不红，,冷经骨质增生
325,风湿麻木,怕风、怕冷，喜热,冷经冷病
326,冷病血虚麻木,手足麻木，怕风、气短、面色苍白，,冷病
327,冷经血虚麻木,形体消瘦，面色苍白，,冷经血虚麻木
328,妇人热病经来花癫,胡言乱语，哭笑无常。,热病
329,妇入热经心神不定花癫,"心神不定,",热经热病
330,妇入热经肝火旺盛花癫,本症,热经热病花癫
331,热病痰迷心神,本症,热经热病痰迷心神
332,热经失眠,口苦，咽干，目赤，,热经热病
333,冷经失眠,四肢冷乏力，盗汗，,冷经冷病
334,热经忧郁,"起病急，口苦咽干,",热经热病
335,冷经忧郁,"腰腹酸软，面色无光,",冷经冷病
336,多睡病,,冷热并病
337,冷经头痛,头痛，面色苍白，,冷经冷病
338,热经头痛,头痛无休止，发热，,热经热病
339,热经胁痛,胁肋作痛，时冷时热，口苦咽干，尿黄，,热经热病
340,冷经胁痛,"胁肋隐痛,",冷经冷病
341,冷病气虚痛肾,"腰痛，全身浮肿，怕冷，大便稀,",冷经冷病
342,热经风热痛肾,腰痛，发烧，怕风，,热经热病
343,热经湿热痛肾,"腰痛，全身水肿,小便少、色黄",热经热病
344,前额头痛,,冷热并病
345,冷病气虚痛鼻,"清涕白色量多，遇风即发,",冷经病症
346,热经痛鼻,口苦，咽干，脓涕，色黄，,热经病症
347,热病疽症,"高烧疼痛,",热经热病
348,冷病疽症,火毒旺盛之后，脓液稀少，,热病转冷病
349,冷经气血两虚疽症,"疼痛轻微，神色不好,",冷经冷病
350,热经痛蛾子（Nad mongb ghab ghongd ngal拉蒙嘎宫昂）,"发烧，蛾子肿大成脓,",热经热病
351,冷经痛蛾子（Mik mongb ghab ghongd ngol纳蒙嘎宫昂）,"蛾子经常疼痛，反复发作,",冷经冷病
352,热经气郁声音嘶哑,"突然嘶哑，心烦易怒,",热经热病
353,热经痰湿粑喉嘶哑,"声音嘶哑,痰稠黄，喉干，",热经热病
354,热经风毒犯肺嘶哑,声音嘶哑，痰稠，发热，,热经热病
355,冷经伤水伤神嘶哑,"身冷，咳嗽，声音嘶哑,",冷经冷病
356,冷经伤气嘶哑,"声音嘶哑，消瘦无力,",冷经冷病
357,眼胞肿痛,遇风流泪加重，红肿，,热经热病
358,热经咽炎（los lik ghongd洛宁宫）,咽红，肿大，发烧，,热经热病
359,冷经咽炎（mik mongb lik ghongd迷蒙宁宫）,"咽痛咳嗽，痰清色白,",冷经冷病
360,冷病肾虚腰腿疼痛,"腰腿疼痛，面色苍白，手脚冷,",冷经冷病
361,冷病水湿腰腿疼痛,腰腿冷痛，遇冷加重,冷经冷病
362,热病气血阻滞腰腿疼痛,"腰腿刺痛，口苦，解黑色便,",热经热病
363,热病湿热腰腿痛,腰腿痛处发热，口苦，尿黄，,热经热病
364,热经喉痛,"发烧，喉咙肿痛,",热经热病
365,冷经喉痛,喉痛，咳嗽，无痰，,冷经冷病
366,疔疮,本症初期、化脓期、恢复期全程均,热经热病
367,冷经腰痛,"冷痛，得热痛减,",冷经冷病
368,热经腰痛,痛处发热、尿黄，,热经热病
369,热经水毒口疮病,发烧，口腔溃烂,热经热病
370,热经湿热口疮病,发烧，口腔溃烂，,热经热病
371,冷病赖洛连江岗（冷病复发性口腔炎）,"口腔溃烂，不红不肿,",冷经冷病
372,热病赖洛连江岗（热病复发性口腔炎）,口腔溃烂，红肿，辣痛，,热经热病
373,舌开裂,口干，舌燥，,热经热病
374,牙痛,"剧烈疼痛,发烧,",热经热病
375,丹毒,皮肤出现疹子，发热，疼痛，,热经热病
376,眼边溃烂,"流泪，红肿,",冷热并病
377,湿热黄水疮,起黄色水泡、身热，,热经热病
378,冷病气虚血虚黄水疮,脓泡稀疏，色淡，,冷经冷病
379,粉刺,"本症为小疾,",冷热并病
380,牛皮癣,,冷热并病
381,眼生挑针,红肿，疼痛，,热经热病
382,风毒白眼珠肿痛,白眼珠疼痛，充血，,热经热病
383,热毒白眼珠肿痛,发热、眼红、疼痛，,热经热病
